judge,pearson_r,pearson_p,spearman_rho,spearman_p,agreement_0.5,agreement_1.0,mae,n_samples
judge_0,0.6186702329781842,6.910481651258081e-12,0.5847631460727859,1.6787843476371917e-10,70.0,90.0,0.532,100
judge_1,0.658350370524792,9.791762696388585e-14,0.6740760621672885,1.5105004400240516e-14,51.0,85.0,0.7030000000000001,100
judge_2,0.5290299199579224,1.528441577593116e-08,0.6172191578030526,7.983947615079703e-12,64.0,86.0,0.644,100
judge_3,0.4883951687317881,2.5381681507351756e-07,0.4745706786901418,6.093691940717511e-07,52.0,78.0,0.721,100
judge_4,0.489844835300669,2.3102478388142667e-07,0.49840601581569705,1.313589642124705e-07,59.0,87.0,0.64,100
judge_5,0.591673593573605,9.028663916835954e-11,0.6170219922847271,8.141670645418979e-12,70.0,86.0,0.599,100
judge_6,0.8017042687369502,1.2464347767751968e-23,0.7666841392118322,1.437683102212303e-20,81.0,96.0,0.385,100
judge_7,0.7748348050290945,3.1222335447481452e-21,0.7337589600708352,3.845382228997903e-18,75.0,95.0,0.45299999999999996,100
judge_8,0.6520392642273227,2.01018256077752e-13,0.6771594673918869,1.032995468684604e-14,74.0,90.0,0.539,100
judge_9,0.45465701331033603,2.0150655963311036e-06,0.4418158666265979,4.190573090215643e-06,54.0,76.0,0.7849999999999998,100
judge_10,0.5986343246736199,4.7618371958435496e-11,0.6474411897044079,3.359120994995775e-13,76.0,93.0,0.5299999999999999,100
judge_11,0.8309353827065113,1.0697619377753043e-26,0.8114299951785113,1.3644482112436813e-24,87.0,96.0,0.409,100
