persona,variant,base_mean,variant_mean,mean_shift,pearson,spearman,exact_match_pct
Professor,v1,6.428,6.582,0.15399999999999991,0.9129170847862329,0.8672563296282405,67.0
CEO,v1,6.684,6.074,-0.6100000000000003,0.8982387436691484,0.8531297559092067,51.0
Parent,v1,7.07,6.7,-0.3700000000000001,0.8843543313168364,0.8106891882073632,58.4
Student,v1,6.836,6.9,0.06400000000000006,0.9182596441413897,0.8864366647292454,76.6
Data Scientist,v1,5.856,5.236,-0.6200000000000001,0.8865306525071377,0.8788559546021936,52.2
Therapist,v1,6.984,7.122,0.1379999999999999,0.8956122180003535,0.809160143965117,63.4
Child,v1,5.094,5.916,0.8220000000000001,0.785637655720732,0.8190684849329574,44.0
Ethicist,v1,6.576,6.674,0.09800000000000075,0.8961762548148555,0.8373637204420985,63.800000000000004
Privacy Advocate,v1,6.068,5.81,-0.258,0.8326346370688352,0.8304790262156483,58.4
Skeptic,v1,5.3,5.23,-0.0699999999999994,0.9134277228882564,0.8870744107268912,61.199999999999996
Engineer,v1,6.056,6.34,0.2839999999999998,0.9265158983895084,0.8952818486784857,62.0
Novelist,v1,5.538,5.578,0.040000000000000036,0.888945776456002,0.8539065024802772,65.8
Non-native Speaker,v1,6.494,7.018,0.524,0.8764532740034876,0.8147522281846759,55.400000000000006
Lawyer,v1,6.136,5.576,-0.5600000000000005,0.891093125787402,0.8583832724558952,55.800000000000004
Professor,v2,6.428,6.82,0.39200000000000035,0.8925087524336199,0.8425669535423205,63.4
CEO,v2,6.684,6.912,0.22799999999999976,0.8896460762406024,0.8242942254052397,57.4
Parent,v2,7.07,7.034,-0.036000000000000476,0.9126435936912962,0.8506000259654749,68.2
Student,v2,6.836,6.824,-0.012000000000000455,0.9192915891522855,0.8852764096486673,73.8
Data Scientist,v2,5.856,6.348,0.492,0.8888545817926407,0.8582075945443293,60.199999999999996
Therapist,v2,6.984,7.036,0.0519999999999996,0.8553847418538363,0.772604466065088,59.4
Child,v2,5.094,6.554,1.46,0.7097145615857361,0.7343703535636233,33.0
Ethicist,v2,6.576,6.946,0.3700000000000001,0.897497319138013,0.8397665052919892,62.4
Privacy Advocate,v2,6.068,6.424,0.35600000000000076,0.7719820522063391,0.7215352459136847,45.6
Skeptic,v2,5.3,5.746,0.4460000000000006,0.8936173278930901,0.8641781098888152,55.60000000000001
Engineer,v2,6.056,6.754,0.6979999999999995,0.8962110027273716,0.8396734013441151,56.99999999999999
Novelist,v2,5.538,6.51,0.9719999999999995,0.8341987706690281,0.7720910221609777,42.4
Non-native Speaker,v2,6.494,6.924,0.4300000000000006,0.8256013340077752,0.6882261190601004,46.800000000000004
Lawyer,v2,6.136,6.686,0.5499999999999998,0.8774849858049805,0.8150455139890177,47.4
Professor,v3,6.428,6.44,0.012000000000000455,0.8925517882158177,0.8589273922969537,64.2
CEO,v3,6.684,6.84,0.1559999999999997,0.9178082530840046,0.8422015533453053,61.199999999999996
Parent,v3,7.07,6.84,-0.23000000000000043,0.9189369503675633,0.8248812970153847,65.4
Student,v3,6.836,6.698,-0.1379999999999999,0.9239009562696878,0.8669320015676214,70.6
Data Scientist,v3,5.856,5.052,-0.8040000000000003,0.8393352099206757,0.8410751649763338,48.199999999999996
Therapist,v3,6.984,7.144,0.16000000000000014,0.8556515290550987,0.7718595715796037,61.199999999999996
Child,v3,5.094,6.792,1.6979999999999995,0.5926178911858724,0.5684614116607,26.0
Ethicist,v3,6.576,6.924,0.34800000000000075,0.8673132387581233,0.8055669005976878,59.599999999999994
Privacy Advocate,v3,6.068,5.154,-0.9139999999999997,0.7654107959627201,0.7813044578030941,45.6
Skeptic,v3,5.3,6.006,0.7060000000000004,0.8938658562688033,0.8568346344283739,50.6
Engineer,v3,6.056,5.524,-0.532,0.8661893157538652,0.83465073575126,55.400000000000006
Novelist,v3,5.538,6.83,1.2919999999999998,0.7903203916695059,0.6840412899757652,31.8
Non-native Speaker,v3,6.494,6.832,0.3380000000000001,0.8260453623632106,0.6987629066150203,48.0
Lawyer,v3,6.136,6.668,0.532,0.8754693572888509,0.8022819593022298,44.4
Professor,v4,6.428,6.778,0.34999999999999964,0.921682783290687,0.8526611596933266,64.2
CEO,v4,6.684,5.984,-0.7000000000000002,0.8864303562812228,0.8532706534885555,48.6
Parent,v4,7.07,7.018,-0.05200000000000049,0.9076472375080892,0.8375656736919681,68.0
Student,v4,6.836,6.998,0.16199999999999992,0.9240896594179344,0.9029408438460715,76.4
Data Scientist,v4,5.856,5.3,-0.556,0.8785319076162832,0.8613510425838956,56.8
Therapist,v4,6.984,7.282,0.29800000000000004,0.8864638709442436,0.8061943743102624,63.0
Child,v4,5.094,6.622,1.5279999999999996,0.6731660277010576,0.714817932761675,31.0
Ethicist,v4,6.576,6.956,0.3800000000000008,0.8799621207299975,0.8245302116310615,61.4
Privacy Advocate,v4,6.068,6.07,0.002000000000000668,0.8218198788610929,0.7921803362778336,52.2
Skeptic,v4,5.3,5.116,-0.18400000000000016,0.9165062847300043,0.897244439945176,61.6
Engineer,v4,6.056,6.494,0.4379999999999997,0.9338207092462929,0.8885973207411917,62.6
Novelist,v4,5.538,5.208,-0.33000000000000007,0.8521257972747786,0.8135308186094123,60.4
Non-native Speaker,v4,6.494,7.092,0.5979999999999999,0.8850688399639812,0.7863892324667118,52.400000000000006
Lawyer,v4,6.136,6.286,0.14999999999999947,0.9031392225484256,0.8627102039029502,54.800000000000004
